chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AMD,2024-01-26,185.0000,call,sell,2024-01-24T20:59:57.563621Z,credit,3.00000,limit,,long_call,0.86000000,3.00000
AMD,2024-01-26,185.0000,call,sell,2024-01-24T20:49:54.767471Z,credit,14.00000,limit,,long_call,0.80000000,14.00000
AMD,2024-01-26,185.0000,call,buy,2024-01-24T20:26:08.272825Z,debit,3.00000,limit,long_call,,0.86000000,3.00000
AMD,2024-01-26,185.0000,call,buy,2024-01-24T20:23:46.672231Z,debit,4.00000,limit,long_call,,0.80000000,4.00000
AMD,2024-02-02,192.5000,call,buy,2024-01-24T20:18:50.544961Z,debit,1.00000,limit,,short_call_spread,1.93000000,1.00000
AMD,2024-02-02,207.5000,call,sell,2024-01-24T20:18:50.544961Z,debit,1.00000,limit,,short_call_spread,1.93000000,1.00000
AMD,2024-01-26,185.0000,call,buy,2024-01-24T20:14:53.082506Z,debit,4.00000,limit,long_call,,0.89000000,4.00000
AMD,2024-02-02,192.5000,call,buy,2024-01-24T20:10:36.474136Z,debit,2.00000,limit,,short_call_spread,2.07000000,2.00000
AMD,2024-02-02,207.5000,call,sell,2024-01-24T20:10:36.474136Z,debit,2.00000,limit,,short_call_spread,2.07000000,2.00000
AMD,2024-01-26,185.0000,call,buy,2024-01-24T20:09:07.191227Z,debit,6.00000,limit,long_call,,1.04000000,6.00000
AMD,2024-02-02,207.5000,call,buy,2024-01-24T19:15:53.335642Z,credit,5.00000,limit,short_call_spread,,1.89000000,5.00000
AMD,2024-02-02,192.5000,call,sell,2024-01-24T19:15:53.335642Z,credit,5.00000,limit,short_call_spread,,1.89000000,5.00000
AMD,2024-01-26,185.0000,put,sell,2024-01-24T18:46:48.646859Z,credit,1.00000,limit,,long_put,7.50000000,1.00000
AMD,2024-01-26,185.0000,put,buy,2024-01-24T18:41:56.804644Z,debit,1.00000,limit,long_put,,7.10000000,1.00000
AMD,2024-02-16,140.0000,put,sell,2024-01-24T18:39:35.474002Z,debit,2.00000,limit,,short_put_spread,1.24000000,2.00000
AMD,2024-02-16,155.0000,put,buy,2024-01-24T18:39:35.474002Z,debit,2.00000,limit,,short_put_spread,1.24000000,2.00000
AMD,2024-02-16,155.0000,put,buy,2024-01-24T18:30:17.476750Z,debit,1.00000,limit,,short_put_spread,1.19000000,1.00000
AMD,2024-02-16,140.0000,put,sell,2024-01-24T18:30:17.476750Z,debit,1.00000,limit,,short_put_spread,1.19000000,1.00000
AMD,2024-02-16,155.0000,put,sell,2024-01-24T17:59:17.738957Z,credit,3.00000,limit,short_put_spread,,1.16000000,3.00000
AMD,2024-02-16,140.0000,put,buy,2024-01-24T17:59:17.738957Z,credit,3.00000,limit,short_put_spread,,1.16000000,3.00000
AMD,2024-02-09,160.0000,call,sell,2024-01-24T16:33:10.609616Z,credit,1.00000,limit,,long_call,20.95000000,1.00000
AMD,2024-02-09,160.0000,call,buy,2024-01-24T16:30:49.330148Z,debit,1.00000,limit,long_call,,20.70000000,1.00000
AAPL,2024-01-26,190.0000,call,sell,2024-01-23T14:37:21.768469Z,credit,1.00000,limit,,long_call,5.55000000,1.00000
AAPL,2024-01-26,190.0000,call,sell,2024-01-23T14:35:55.782391Z,credit,3.00000,limit,,long_call,5.50000000,3.00000
AAPL,2024-01-26,190.0000,call,buy,2024-01-23T14:32:47.462454Z,debit,4.00000,limit,long_call,,5.40000000,4.00000
NVDA,2024-01-26,600.0000,put,sell,2024-01-22T15:30:44.077854Z,credit,1.00000,limit,,long_put,14.65000000,1.00000
NVDA,2024-01-26,600.0000,put,buy,2024-01-22T15:29:00.211145Z,debit,1.00000,limit,long_put,,14.55000000,1.00000
AMD,2024-02-09,195.0000,call,sell,2024-01-22T15:27:40.391220Z,debit,5.00000,limit,,short_call_spread,1.38000000,5.00000
AMD,2024-02-09,185.0000,call,buy,2024-01-22T15:27:40.391220Z,debit,5.00000,limit,,short_call_spread,1.38000000,5.00000
NVDA,2024-02-02,530.0000,put,sell,2024-01-22T15:27:00.367978Z,debit,8.00000,limit,,short_put_spread,1.42000000,8.00000
NVDA,2024-02-02,547.5000,put,buy,2024-01-22T15:27:00.367978Z,debit,8.00000,limit,,short_put_spread,1.42000000,8.00000
AMD,2024-02-09,195.0000,call,buy,2024-01-22T15:02:39.436780Z,credit,5.00000,limit,short_call_spread,,1.61000000,5.00000
AMD,2024-02-09,185.0000,call,sell,2024-01-22T15:02:39.436780Z,credit,5.00000,limit,short_call_spread,,1.61000000,5.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-22T14:31:00.026377Z,credit,1.00000,limit,,long_call,23.00000000,1.00000
NVDA,2024-01-26,580.0000,call,buy,2024-01-19T20:59:11.914167Z,debit,1.00000,limit,long_call,,20.30000000,1.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:55:52.420925Z,credit,1.00000,limit,,long_call,20.20000000,1.00000
NVDA,2024-01-26,580.0000,call,buy,2024-01-19T20:52:51.208149Z,debit,1.00000,limit,long_call,,19.00000000,1.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:46:22.619764Z,credit,5.00000,limit,,long_call,19.25000000,5.00000
NVDA,2024-01-26,580.0000,call,buy,2024-01-19T20:42:56.190610Z,debit,5.00000,limit,long_call,,18.90000000,5.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:23:46.615714Z,credit,1.00000,limit,,long_call,17.60000000,1.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:23:08.327077Z,credit,2.00000,limit,,long_call,17.45000000,2.00000
NVDA,2024-01-26,580.0000,call,buy,2024-01-19T20:17:14.720444Z,debit,3.00000,limit,long_call,,17.40000000,3.00000
NVDA,2024-02-02,530.0000,put,buy,2024-01-19T20:13:25.377053Z,credit,8.00000,limit,short_put_spread,,1.64000000,8.00000
NVDA,2024-02-02,547.5000,put,sell,2024-01-19T20:13:25.377053Z,credit,8.00000,limit,short_put_spread,,1.64000000,8.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:10:22.949542Z,credit,1.00000,limit,,long_call,18.20000000,1.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:09:35.193342Z,credit,1.00000,limit,,long_call,18.35000000,1.00000
NVDA,2024-01-26,580.0000,call,sell,2024-01-19T20:08:25.877518Z,credit,1.00000,limit,,long_call,18.20000000,1.00000
