tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp
2024-02-02,1530,SELL,10,TSLA,atLimit,187.83,1758,9,below,R1,-3.19,-1.7001%,0,1,2024-02-04T202402
2024-02-02,1530,SELL,10,LULU,atLimit,463.61,1759,9,below,R1,-1.62,-0.3494%,0,1,2024-02-04T202402
2024-02-02,1515,SELL,10,AMD,atLimit,178.52,1754,14,above,R1,6.06,3.3971%,1,1,2024-02-04T202402
2024-02-02,1515,buyToOpen_PUT_,3,AMD,atLimit,178.52,1754,180,STRIKE,R1,6.06,3.3971%,1,1,2024-02-04T202402
2024-02-02,1515,SELL,10,NFLX,atLimit,565.79,1755,4,below,R1,-6.4,-1.1317%,0,1,2024-02-04T202402
2024-02-02,1515,SELL,10,VXX,atLimit,15.06,1756,5,below,R1,-0.25,-1.6597%,0,1,2024-02-04T202402
2024-02-02,1515,SELL,10,ADBE,atLimit,635.95,1757,4,above,R1,4.3,0.6762%,1,1,2024-02-04T202402
2024-02-02,1515,buyToOpen_CALL_sellToOpen_CALL,0,ADBE,atLimit,635.95,1757,735,STRIKE,730,4.3,0.6762%,1,1,2024-02-04T202402
2024-02-02,1508,SELL,10,INTC,atLimit,42.52,1753,4,below,R1,-1.28,-3.0106%,0,1,2024-02-04T202402
2024-02-02,1500,SELL,10,ETSY,atLimit,76.35,1752,6,above,R1,1.91,2.5059%,1,1,2024-02-04T202402
2024-02-02,1430,BUY,10,META,atLimit,479.36,1751,5,above,S1,87.58,18.2696%,0,1,2024-02-04T202402
2024-02-02,1416,BUY,10,INTC,atLimit,42.48,1750,6,below,S1,-0.23,-0.5492%,1,1,2024-02-04T202402
2024-02-02,1416,buyToOpen_CALL_,0,INTC,atLimit,42.48,1750,40,STRIKE,S1,-0.23,-0.5492%,1,1,2024-02-04T202402
2024-02-02,1415,BUY,10,ADBE,atLimit,634.69,1749,5,above,S1,13.07,2.0587%,0,1,2024-02-04T202402
2024-02-02,1330,BUY,10,SNAP,atLimit,16.96,1747,4,above,S1,1.24,7.2917%,0,1,2024-02-04T202402
2024-02-02,1330,SELL,10,VXX,atLimit,15,1748,5,below,R1,-0.31,-2.0738%,0,1,2024-02-04T202402
