tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp,tradeRecTimestamp,tradeDateTime,tradeDay,tradeBar,userId,accountId,tradeRAW,tradeRawId,tradeSize1,tradePrFilled,tradeDur,tradeStopMke,tradeLimitExit,optionStrategy,daySRs,wkSRs,moSRs,tradeSpec,tradeSig,tradeGapPct,tradeStatus,tradeAux1,tradeAux2,tradeHash
2024-02-16,1600,BUY,10,AMZN,atLimit,169.82,2375,4,above,S1,1.91,1.1267%,0,200|195|140|135,2024-02-17T003134,2024-02-16T204505,2024-02-16T160000,fri,15min,Creator,12345354911,raw63,0,100,0,gfd,101.892,424.55,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|174.75|173.12|171.48|169.54|170.57|167.90|165.96|164.32|,wkR2R1P_172.39_S1S2=|179.74|177.14|169.79|165.04|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1600,BUY,10,ADBE,atLimit,552.63,2376,10,below,S1,-31.74,-5.7440%,1,660|635|465|440,2024-02-17T003134,2024-02-16T204505,2024-02-16T160000,fri,15min,Creator,12345354911,raw64,0,100,0,gfd,331.578,1381.57,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|624.87|613.40|601.92|595.85|607.56|584.37|578.30|566.82|,wkR2R1P_622.20_S1S2=|652.12|639.72|609.80|592.28|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1600,BUY,10,ETSY,atLimit,76.81,2377,7,above,S1,0.04,0.0564%,0,90|85|65|60,2024-02-17T003134,2024-02-16T204505,2024-02-16T160000,fri,15min,Creator,12345354911,raw65,0,100,0,gfd,46.086,192.025,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|79.72|79.07|78.41|77.42|76.28|76.76|75.77|75.11|,wkR2R1P_76.50_S1S2=|82.64|80.35|74.21|70.36|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1547,BUY,10,INTC,atLimit,43.58,2332,5,below,S1,-0.05,-0.1071%,1,50|50|35|30,2024-02-17T003134,2024-02-16T204050,2024-02-16T154700,fri,13min,Creator,12345354911,raw20,0,100,0,gfd,26.148,108.95,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|46.52|45.70|44.88|44.45|43.76|43.63|43.20|42.38|,wkR2R1P_43.25_S1S2=|43.86|43.58|42.97|42.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1547,buyToOpen_CALL_,0,INTC,atLimit,43.58,2332,40,STRIKE,S1,-0.05,-0.1071%,1,50|50|35|30,2024-02-17T003134,2024-02-16T204050,2024-02-16T154700,fri,13min,Creator,12345354911,raw20,0,100,0,gfd,26.148,108.95,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|46.52|45.70|44.88|44.45|43.76|43.63|43.20|42.38|,wkR2R1P_43.25_S1S2=|43.86|43.58|42.97|42.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1545,BUY,10,ROKU,atLimit,72.09,2355,6,below,S1,-19.91,-27.6136%,1,85|80|60|55,2024-02-17T003134,2024-02-16T204050,2024-02-16T154500,fri,15min,Creator,12345354911,raw43,0,100,0,gfd,43.254,180.225,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|99.27|97.68|96.10|93.58|93.14|92.00|89.48|87.90|,wkR2R1P_93.70_S1S2=|105.49|100.64|88.85|81.91|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1545,buyToOpen_CALL_,4,ROKU,atLimit,72.09,2355,70,STRIKE,S1,-19.91,-27.6136%,1,85|80|60|55,2024-02-17T003134,2024-02-16T204050,2024-02-16T154500,fri,15min,Creator,12345354911,raw43,0,100,0,gfd,43.254,180.225,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|99.27|97.68|96.10|93.58|93.14|92.00|89.48|87.90|,wkR2R1P_93.70_S1S2=|105.49|100.64|88.85|81.91|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1515,SELL,10,AAPL,atLimit,183.06,2336,4,below,R1,-2.11,-1.1550%,0,215|210|155|145,2024-02-17T003134,2024-02-16T204050,2024-02-16T151500,fri,15min,Creator,12345354911,raw24,0,100,0,gfd,109.836,457.65,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|187.63|186.40|185.18|183.26|185.49|182.04|180.12|178.90|,wkR2R1P_188.57_S1S2=|193.78|191.31|186.10|183.36|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1515,SELL,10,META,atLimit,476.25,2359,6,below,R1,-14.82,-3.1111%,0,570|545|400|380,2024-02-17T003134,2024-02-16T204050,2024-02-16T151500,fri,15min,Creator,12345354911,raw47,0,100,0,gfd,285.75,1190.62,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|505.02|498.04|491.07|481.64|467.91|474.67|465.24|458.27|,wkR2R1P_465.21_S1S2=|484.78|476.39|456.82|445.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1515,SELL,10,TSLA,atLimit,200.76,2364,5,below,R1,-3.86,-1.9238%,0,240|230|170|160,2024-02-17T003134,2024-02-16T204050,2024-02-16T151500,fri,15min,Creator,12345354911,raw52,0,100,0,gfd,120.456,501.9,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|212.90|208.76|204.63|196.74|187.15|192.61|184.72|180.59|,wkR2R1P_187.57_S1S2=|206.68|200.12|181.01|168.46|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
