# tradestation.txt

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.02

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.98

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 236.99

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.01

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

TSLA  12/12/2023  | Open, High, Low, Close=  236.80, 237.12, 236.38, 237.00

