
AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.29

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.31

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.31

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

AAPL  12/12/2023  | Open, High, Low, Close=  194.30, 194.34, 194.29, 194.30

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.48

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.49

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.50

NVDA  12/12/2023  | Open, High, Low, Close=  474.63, 474.65, 474.30, 474.49

